File generated by gen_phonebook.pl - 2013-09-05 15:54:57 UTC
8952 airports and 3146 navaids are present in this file (38 freq skipped) 

ICAO  Decription            FRQ      Phone no.          Name
 1O2  CTAF/UNICOM           122.800  0132497950122800  Lampson Fld         
 1O2  AWOS 2                118.350  0132497950118350  Lampson Fld         
 1O3  NORCAL APP/DEP        125.100  0132497951125100  LODI                
 1O3  NORCAL APP/DEP        125.250  0132497951125250  LODI                
 1O3  CTAF                  122.900  0132497951122900  LODI                
 1O4  CTAF                  122.900  0132497952122900  THOMAS MUNI         
 1O5  CTAF/UNICOM           122.800  0132497953122800  Montague Yreka Rohrer Field
 1O8  ALTUS DEP             125.100  0132497956125100  TIPTON MUNI         
 1O8  CTAF                  122.900  0132497956122900  TIPTON MUNI         
 1Q2  CTAF                  122.900  0132498150122900  SPAULDING           
 1Q4  CTAF                  122.900  0132498152122900  NEW JERUSALEM       
 1R1  CTAF                  122.800  0132498249122800  JENA                
 1R4  CTAF                  122.900  0132498252122900  WOODWORTH           
 1R7  CTAF/UNICOM           122.800  0132498255122800  BROOKHAVEN LINCOLN CO
 1R7  AWOS 3                118.125  0132498255118125  BROOKHAVEN LINCOLN CO
 1R8  CTAF/UNICOM           122.800  0132498256122800  BAY MINETTE MUNI    
 1R8  MOBILE APP/DEP        118.500  0132498256118500  BAY MINETTE MUNI    
 1S0  CLNC DEL              121.850  0132498348121850  PIERCE CO THUN FLD  
 1S0  CTAF/UNICOM           122.700  0132498348122700  PIERCE CO THUN FLD  
 1S0  SEATTLE APP/DEP       126.500  0132498348126500  PIERCE CO THUN FLD  
 1S3  CTAF/UNICOM           122.800  0132498351122800  Tillitt Fld         
 1S5  CTAF                  122.900  0132498353122900  SUNNYSIDE MUNI      
 1S9  CTAF                  122.900  0132498357122900  SAND CANYON         
 1T7  CTAF/UNICOM           122.975  0132498455122975  KESTREL AIRPARK     
 1U2  CTAF                  122.900  0132498550122900  MUD LAKE            
 1U7  CTAF/UNICOM           122.800  0132498555122800  BEAR LAKE CO        
 1V0  CTAF                  122.900  0132498648122900  NAVAJO LAKE         
 1V2  CTAF                  122.900  0132498650122900  GRANT CO            
 1V6  CTAF/UNICOM           122.800  0132498654122800  FREMONT CO          
 1V6  PUEBLO APP/DEP        120.100  0132498654120100  FREMONT CO          
 1V6  AWOS 3                120.025  0132498654120025  FREMONT CO          
 1V8  CTAF/UNICOM           122.800  0132498656122800  LEACH               
 1X1  CTAF                  122.900  0132498849122900  HIGGINS LIPSCOMB CO 
 20A  CTAF                  122.800  0132504865122800  ROBBINS FLD         
 20M  CTAF                  122.700  0132504877122700  MACON MUNI          
 20N  CTAF/UNICOM           122.800  0132504878122800  KINGSTON ULSTER     
 20N  NEW YORK APP/DEP      132.750  0132504878132750  KINGSTON ULSTER     
 20R  CTAF                  122.900  0132504882122900  CRYSTAL CITY MUNI   
 20U  CTAF/UNICOM           122.800  0132504885122800  BEACH               
 20V  CTAF/UNICOM           122.800  0132504886122800  Mc Elroy Afld       
 20V  AWOS 3                118.425  0132504886118425  Mc Elroy Afld       
 21D  CTAF/UNICOM           122.800  0132504968122800  LAKE ELMO           
 21D  MINNEAPOLIS APP/DEP   121.200  0132504968121200  LAKE ELMO           
 21D  CLNC DEL              118.625  0132504968118625  LAKE ELMO           
 21F  CTAF                  122.900  0132504970122900  JACKSBORO MUNI      
 22F  CTAF                  122.900  0132505070122900  KENT CO             
 22I  CTAF/UNICOM           122.800  0132505073122800  VINTON CO           
 22M  CTAF/UNICOM           122.800  0132505077122800  PONTOTOC CO         
 22N  ASOS                  119.350  0132505078119350  JAKE ARNER MEMORIAL 
 22N  ALLENTOWN APP/DEP     118.200  0132505078118200  JAKE ARNER MEMORIAL 
 22N  ALLENTOWN APP/DEP     119.650  0132505078119650  JAKE ARNER MEMORIAL 
 22N  CTAF/UNICOM           123.050  0132505078123050  JAKE ARNER MEMORIAL 
 22S  CTAF                  122.900  0132505083122900  Paisley             
 22W  UNICOM                122.700  0132505087122700  TRANSYLVANIA COUNTY 
22XS  ATIS                  118.800  0150508883118800  LONGHORN AUX LANDING STRIP
